Ano   jan   fev   mar   abr   mai   jun   jul   ago   set   out   nov   dez  Anual
1935  297.7 675.4 279.2 220.0 159.2 156.8 433.6 296.0 278.5 177.1 170.8 296.3 3440.6 
1936  315.1 521.8 583.0 128.3 227.2 212.3 16.2  91.2  203.2 170.7 135.9 274.3 2879.2
1937  449.3 151.3 121.2 237.9 200.0 24.5  70.0  110.2  38.0  243.9 339.9 347.7 2333.9 
1938  235.7 563.9 189.6 333.3 89.1  270.3 140.8 245.9  174.9 205.8 327.9 349.2 3126.4
1939  347.5 107.5 929.3 417.5 154.1 35.6  75.5  23.6  194.6 95.4  185.3 404.4 2970.3 
1940  505.0 300.8 323.1 180.2 76.9  41.2  35.4  49.4  141.3 348.6 333.4 325.9 2661.2 
1941  246.6 650.5 763.9 123.6 125.5 71.1  117.8 72.5  219.1 109.4 315.2 519.0 3334.2 
1942  252.5 241.1 253.8 255.9 66.6  70.5  102.5 76.3  123.9 452.2 446.1 287.7 2629.1
1943  416.5 175.1 206.6 166.5 182.4 100.2 33.6  383.9  87.2  328.2 207.1 549.0 2836.3 
1944  328.7 573.1 284.4 529.2 177.3 41.2  130.5 42.5  130.0 136.3 527.5 265.1 3165.8
1945  515.3 425.3 383.4 427.0 119.1 256.4 62.6  55.0  288.8 96.7  199.7 466.1 3295.4 
1946  365.7 210.2 542.5 262.6 121.4 46.3  45.6  111.2  239.6 500.1 201.5 277.1 2923.8
1947  689.6 39.5  230.4 194.5 171.1 201.3 175.8 251.8  262.3 369.2 321.8 519.2 3426.5 
1948  310.4 577.5 369.7 157.3 224.7 65.3  220.3 81.9  168.5 167.8 354.2 236.5 2934.1
1949  715.0 153.2 231.6 105.3 45.6  349.9 263.6 209.0  194.2 166.8 139.9 317.5 2891.6 
1950  787.7 244.6 423.2 282.7 186.9 39.8  14.4  69.6  278.6 298.4 443.5 412.5 3481.9
1951  531.4 498.2 638.9 208.5 56.6  10.3  51.4  99.5  22.6  342.3 223.0 307.8 2990.5 
1952  673.8 775.1 338.3 88.6  54.3  168.8 95.4  108.2 266.7 NA    NA    NA    2569.2
1953  98.6  237.8 285.0 162.1 65.0  23.4  59.1  292.8 81.7  158.6 362.2 236.6 2062.9 
1954  56.8  150.3 345.7 148.9 138.6 57.4  115.4 55.7  176.0 292.8 150.8 290.9 1979.3
1955  318.8 73.7  270.5 120.3 59.4  42.3  41.5  52.2  101.5 132.4 181.3 151.9 1545.8 
1956  77.4  218.8 365.2 166.2 89.4  145.1 34.1  78.3  74.4  235.3 143.9 129.3 1757.4
1957  184.9 305.3 217.4 216.2 31.9  42.1  37.4  45.3  230.7 244.7 165.6 179.8 1901.3 
1958  256.3 182.2 243.8 234.3 207.0 98.6  28.2  103.5 130.6 295.3 659.7 452.5 2892.0
1959  293.4 854.4 280.9 84.5  166.6 11.1  42.5  135.6 120.7 142.6 296.3 306.8 2735.4 
1960  397.5 672.5 234.6 123.7 82.6  55.5  92.4  172.7 111.0 331.0 244.9 524.0 3042.4
1961  709.0 656.6 397.0 188.7 91.0  86.2  340.2 36.7  145.2 91.3  115.9 219.0 3076.8 
1962  417.0 576.6 246.8 189.1 132.9 18.3  70.4  61.4  200.8 357.4 277.6 695.9 3244.2  
1963  149.5 203.0 433.9 26.5  110.5 77.3  49.0  96.2  21.9  253.6 325.2 136.9 1883.5 
1964  194.8 331.6 204.4 146.3 132.1 117.9 142.6 107.  376.8  259.7 351.1 349.9 2414.5
1965  379.1 275.3 288.7 344.0 284.9 139.3 120.0 37.4  205.4 183.8 192.6 692.1 3142.6 
1966  688.4 354.6 236.9 628.6 192.8 28.9  269.7 194.9 120.2 334.0 293.8 509.0 3851.8
1967  646.0 507.6 958.5 249.3 49.8  125.3 127.6 64.4  244.0 377.2 238.8 265.6 3854.1
1968  165.2 169.1 183.7 272.2 63.7  74.6  164.2 108.3 157.4 267.3 163.5 310.7 2099.9
1969  396.4 401.8 226.5 169.9 98.3  112.6 124.8 142.6 101.1 257.0 717.2 390.0 3138.2 
1970  295.4 340.7 211.0 90.3  69.4  215.0 126.0 101.4 90.9  185.9 59.2  95.0  1880.2
1971  105.2 356.5 273.3 180.9 181.7 69.0  81.1  272.9 107.4 114.4 224.5 380.7 2347.6 
1972  152.5 303.5 183.0 196.9 13.0  27.0  42.0  120.0 245.0 332.0 236.0 213.0 2063.9
1973  571.6 291.5 152.5 140.7 306.0 55.0  390.0 85.0  291.0 208.0 415.0 508.1 3414.4 
1974  564.9 20.0  107.0 113.0 97.0  70.0  61.7  65.0  133.2 112.0 120.0 333.4 1797.2
1975  488.7 413.1 132.7 131.1 151.8 49.1  70.7  35.7  117.7 275.3 465.2 347.4 2678.5 
1976  671.3 368.9 294.9 194.7 204.3 50.4  143.2 146.2  268.8 218.2 116.6 356.6 3034.1
1977  357.4 16.7  72.5  377.1 50.5  52.3  40.4  129.5 359.3 223.9 260.1 342.6 2282.3 
1978  368.3 293.2 159.1 155.7 94.9 59.9   36.2  19.3  34.0  76.6 204.8  271.8 1773.8
1979  305.9 138.0 632.8 248.3 90.4  55.6  86.5  78.7  208.2 93.7  309.3 534.0 2781.4 
1980  499.2 360.7 134.7 250.0 10.0  78.9  60.2  140.7 79.5  317.0 245.0 238.3 2414.2
1981  676.6 137.1 446.6 419.6 61.2  82.0  103.2 106.8  97.1  135.7 342.1 362.7 2970.7 
1982  301.8 154.0 419.2 177.6 27.1  141.7 72.3  116.4  199.7 220.8 340.9 384.5 2556.0
1983  202.7 182.6 408.6 282.5 287.6 176.4 43.4  43.0  280.4 169.2 129.9 336.1 2542.4 
1984  280.4 72.7  195.9 137.8 116.4 10.6  73.6  100.2 94.1  152.8 310.5 274.6 1819.6
1985  594.9 483.2 459.7 528.6 102.1 31.1  7.2  59.1  153.1 69.0  312.8 233.2 3034.0 
1986  135.8 586.0 473.9 279.9 105.4 68.6  108.5 127.5  234.2 144.7 179.9 732.1 3176.5
1987  343.4 132.5 103.4 389.3 234.8 143.5 NA  31.6  122.7 260.9 200.2 258.5 2220.8 
1988  273.1 643.2 254.6 282.5 186.2 109.2 39.4  7.5  233.0 205.3 131.2 310.4 2675.6
1989  249.4 218.3 434.3 135.4 86.6  269.2 169.4 69.6  252.7 176.3 247.1 186.8 2495.1 
1990  97.2  80.1  280.4 309.7 111.8 41.8  81.9  84.7  125.6 381.2 166.8 182.7 1943.9 
1991  285.7 291.0 517.2 145.0 141.7 38.6  96.9  63.6  166.5 148.7 145.1 126.9 2166.9 
1992  612.7 107.8 104.5 123.1 367.6 6.6  150.4 65.6  305.2 304.1 474.4 231.6 2853.6
1993  262.9 359.8 479.2 152.2 90.7  141.4 47.8  18.9  218.0 110.8 112.8 255.3 2249.8 
1994  311.5 311.3 458.8 444.0 87.3  166.3 70.8  57.2  224.6 352.4 195.2 157.1 2836.5
1995  346.9 407.2 381.2 116.2 115.8 142.1 99.5  161.8  184.8 336.6 277.9 287.2 2857.2 
1996  392.8 898.6 471.4 152.4 79.5  89.6  73.1  69.4  277.6 217.1 267.9 192.2 3181.6
1997  354.3 61.0  81.8  114.8 148.0 79.1  35.2  80.7  245.8 284.9 497.4 242.7 2225.7 
1998  344.8 538.8 445.4 159.4 159.9 22.4  29.0  117.7  266.5 396.6 232.7 193.9 2907.1
